,Name,Affilation,H-index,Citations 2020,Total_citation,H-index_since_2016,Citation_since_2016,HomePage,Area of Research,Google_Scholar
16,Merouane Debbah,"Centralesupelec, Technology Innovation Institute, MBZUAI, Lagrange Mathematics Center",98,7545,44107,83,33265,https://ieeexplore.ieee.org/author/37284195000,5G6GMachine LearningRandom Matrix TheoryGame Theory,https://scholar.google.fr/citations?user=HU5I0X4AAAAJ&hl=fr
17,Zhiguo Ding,"University of Manchester, Fellow of IEEE, Web of Science Highly Cited Researcher",87,7794,33628,81,30862,https://personalpages.manchester.ac.uk/staff/zhiguo.ding/index,Wireless communicationssignal processingand cross-layer optimization,https://scholar.google.co.uk/citations?user=V-nB8scAAAAJ&hl=en
18,Yucheng Dong,"Professor of Management and Systems Sciences, Sichuan University",56,1839,10593,52,8934,http://faculty.dlut.edu.cn/zzhang/en/zdylm/1064285/list/index.htm,Decision AnalysisHuman DynamicsSocial NetworkData Science,https://scholar.google.com/citations?user=tFVYDw4AAAAJ&hl=en
19,Maged Elkashlan,"Associate Professor, Queen Mary University of London",57,2605,13804,54,12479,https://scholar.google.co.uk/citations?user=mncnnOAAAAAJ&hl=en,IRSURLLCUAVPLSNOMA,https://scholar.google.com/citations?user=mncnnOAAAAAJ&hl=en
20,Giancarlo Fortino,"Full Professor of Computer Engineering, Università della Calabria. Highly Cited Researcher 2020",62,2817,14071,56,11755,https://publons.com/researcher/2097883/giancarlo-fortino/,Human-Machine SystemsAgent-based ComputingInternet of ThingsWearable ComputingWireless/Body Area Networks,https://scholar.google.co.in/citations?user=ecImn1MAAAAJ&hl=en
21,Gao Huijun,"Professor of Control Science and Engineering, Harbin Institute of Technology",125,4412,48124,100,27893,https://www.guide2research.com/u/gao-huijun,Robust Control - Networked Control Systems - Signal Processing - Control Applications,https://scholar.google.co.in/citations?user=2DdpHLEAAAAJ&hl=en
22,Salvador García,Full Professor of Computer Science and Artificial Intelligence. University of Granada.,56,4122,25770,52,19385,https://www.polyhigh.org/apps/pages/index.jsp?uREC_ID=660940&type=u,Artificial IntelligenceData ScienceMachine LearningSoft ComputingEvolutionary Algorithms,https://scholar.google.com/citations?user=vIC06a0AAAAJ&hl=en
23,Xiaohua Ge,"Swinburne University of Technology, Melbourne, Australia",32,1712,5774,32,5716,https://dl.acm.org/profile/99658617906,Multi-Agent SystemsNetworked Control SystemsCyber-Physical SystemsSensor Networks,https://scholar.google.com.au/citations?user=B37CYFoAAAAJ&hl=en
24,"Mohsen Guizani, FIEEE","Qatar University, Doha, Qatar",87,8243,38952,74,32815,https://ieeexplore.ieee.org/author/37085436778,Internet of ThingsApplied AI/ML and Cybersecurity,https://scholar.google.com/citations?user=RigrYkcAAAAJ&hl=en
25,Song Guo,"FCAE, FIEEE, The Hong Kong Polytechnic University",68,3790,18880,66,16105,https://www4.comp.polyu.edu.hk/~cssongguo/,Big Data ComputingEdge AIMobile ComputingDistributed System,https://scholar.google.com/citations?user=Ib-sizwAAAAJ&hl=en
26,Harald Haas,The University of Edinburgh,91,5612,42846,78,30469,https://www.ted.com/talks/harald_haas_wireless_data_from_every_light_bulb,Optical Wireless CommunicationsInterference Managment in Wireless NetworksSpatial Modulation,https://scholar.google.co.in/citations?user=XxIwRJQAAAAJ&hl=en
27,Yuki Hagiwara,Fraunhofer IKS,29,1752,5583,29,5574,https://twitter.com/losolivoscal,Artificial Intelligence,https://scholar.google.com.sg/citations?user=P6WI2DQAAAAJ&hl=en
28,"Qing-Long Han, Pro Vice-Chancellor and Distinguished Professor, MAE, IEEE Fellow",Swinburne University of Technology,104,5701,34602,86,24199,https://scholar.google.com.au/citations?user=j0pyptAAAAAJ&hl=en,Networked control systemstime-delay systemsmulti-agent systemssmart gridsunmanned surface vehicles,https://scholar.google.com.au/citations?user=j0pyptAAAAAJ&hl=en
29,Zhu Han,University of Houston,113,7586,52495,90,37493,https://publons.com/researcher/1546425/han-zhu/,Game TheoryWireless NetworkingSecurityData ScienceSmart Grid,https://scholar.google.com/citations?user=ty7wIXoAAAAJ&hl=en
30,L Hanzo,"Chair of Telecommunications, University of Southampton",104,7091,62795,81,33190,https://www.noon.com/egypt-en/ofdm-and-mc-cdma-hardcover/N26590106A/p,telecommunicationswireless communicationquantum_information_sciencevideo_codingvideo_networking,https://scholar.google.co.uk/citations?user=p0jnEW0AAAAJ&hl=en
31,Robert Heath,"Lampe Distinguished Professor, North Carolina State University",133,7935,77604,93,44617,https://www.ece.utexas.edu/people/faculty/robert-heath,wirelessMIMOcommunicationssignal processinginformation theory,https://scholar.google.com/citations?user=17Ko8Q0AAAAJ&hl=en
32,Francisco Herrera,"Professor Computer Science and AI, Granada University, Senior Research Advisor in DL&ML at Sherpa.ai",156,11543,105087,122,60311,https://www.britannica.com/biography/Francisco-Herrera-the-Elder,Artificial IntelligenceComputational IntelligenceData miningEvolutionary AlgorithmsBig Data Analytics,https://scholar.google.com/citations?user=HULIk-QAAAAJ&hl=en
33,Enrique Herrera-Viedma,"Professor of Computer Science and Artificial Intelligence, Spain, University of Granada",105,5110,44031,88,26043,https://orcid.org/0000-0002-7922-4984,Fuzzy setsfuzzy decision makingcomputing with wordsmultiple criteria decision makingconsensus,https://scholar.google.com/citations?user=g8ZXTuYAAAAJ&hl=en
34,Wei He,"Research scientist, Geoinformatics Unit, RIKEN Center for Advanced Intelligence Project (AIP)",18,441,1913,18,1858,https://scholar.google.com/citations?user=5qWEM-oAAAAJ&hl=en,remote sensingcomputer vision,https://scholar.google.com.hk/citations?user=5qWEM-oAAAAJ&hl=zh-CN
35,Ekram Hossain,"Professor, University of Manitoba, Canada, IEEE Fellow",97,3323,35457,74,20653,https://dblp.org/pid/45/1224,Wireless communication networksradio resource allocationcognitive radiomulti-tier cellular networks,https://scholar.google.com/citations?user=Lb617EMAAAAJ&hl=zh-TW
36,Guang-Bin Huang,"Full Professor, Nanyang Technological University, Singapore",70,6031,52197,62,35693,https://ieeexplore.ieee.org/author/37274328900,Machine LearningNeural NetworksNeuroscience,https://scholar.google.com.sg/citations?user=LhSqQCIAAAAJ&hl=en
37,Kaibin Huang,"Associate Professor, Dept. of EEE, The University of Hong Kong; IEEE Fellow",49,2668,13637,42,11024,https://www.eee.hku.hk/~huangkb/,Machine LearningMobile Edge ComputingWireless CommunicationsWireless Power TransferStochastic Geometry,https://scholar.google.com/citations?user=HfuA3uIAAAAJ&hl=en
38,Tingwen Huang,"Member of the European Academy of Sciences and Arts, Professor of Texas A&M University at Qatar",81,5273,24743,76,21492,https://dl.acm.org/profile/81385596396,Neuromorphic ComputingComputational IntelligenceSmart GridControl and OptimizationCyber Security,https://scholar.google.co.in/citations?hl=en&user=NNJBCaAAAAAJ
39,Thomas JR Hughes,"Peter O'Donnell Jr. Chair in Computational and Applied Mathematics, University of Texas at Austin",157,7584,128419,99,44951,http://en.wikipedia.org/wiki/Theodore_von_Karman_Medal,Finite Element MethodsSolid MechanicsComputational Fluid DynamicsPartial Differential EquationsIsogeometric Analysis,https://scholar.google.co.in/citations?hl=en&user=6tPdlYAAAAAJ
40,Shi Jin,Southeast University,68,3733,16724,64,14761,https://dblp.org/pid/49/5340,Wireless CommunicationsMIMO5G Technologies,https://scholar.google.co.in/citations?hl=en&user=xGkd6qwAAAAJ
41,Yaochu Jin,"Humboldt Professor for AI, Bielefeld University and Distinguished Chair, University of Surrey",81,3944,28416,68,18171,https://link.springer.com/content/pdf/bfm%3A978-3-540-33019-6%2F1.pdf,Artificial IntelligenceEvolutionary ComputationMultiobjective OptimizationFederated LearningDevelopmental AI,https://scholar.google.co.in/citations?hl=en&user=B5WAkz4AAAAJ
